,Unnamed: 0,state,transaction_count,transaction_vale,year,quarter,state1,"('state1', 'state2')",ST_NM
0,0,puducherry,104212,165825971.3698361,2018,1,puducherry,['puducherry'],Puducherry
1,1,tamil nadu,6726622,11261557697.516891,2018,1,tamil,"['tamil', 'nadu']",Tamil Nadu
2,2,uttar pradesh,12537805,13939970923.2231,2018,1,uttar,"['uttar', 'pradesh']",Uttar Pradesh
3,3,madhya pradesh,8025395,8681603403.446348,2018,1,madhya,"['madhya', 'pradesh']",Madhya Pradesh
4,4,andhra pradesh,9039585,11996276391.8237,2018,1,andhra,"['andhra', 'pradesh']",Andhra Pradesh
5,5,tripura,148157,137978914.5306222,2018,1,tripura,['tripura'],Tripura
6,6,lakshadweep,778,1928611.1808777405,2018,1,lakshadweep,['lakshadweep'],Lakshadweep
7,7,manipur,84069,128046173.9302092,2018,1,manipur,['manipur'],Manipur
8,8,maharashtra,16387034,21711613257.72567,2018,1,maharashtra,['maharashtra'],Maharashtra
9,9,dadra & nagar haveli & daman & diu,148549,175658384.10921678,2018,1,dadra,"['dadra', '& nagar haveli & daman & diu']",Dadra and Nagar Haveli and Daman and Diu
10,10,meghalaya,49571,66250259.78990036,2018,1,meghalaya,['meghalaya'],Meghalaya
11,11,andaman & nicobar islands,6658,14631761.22198579,2018,1,andaman,"['andaman', '& nicobar islands']",Andaman & Nicobar
12,12,haryana,4480770,6793511514.660528,2018,1,haryana,['haryana'],Haryana
13,13,rajasthan,7591690,8926293130.726837,2018,1,rajasthan,['rajasthan'],Rajasthan
14,14,ladakh,6089,12532857.77111478,2018,1,ladakh,['ladakh'],Ladakh
15,15,punjab,1870433,2780758224.8543887,2018,1,punjab,['punjab'],Punjab
16,16,assam,1056881,1157804456.2124689,2018,1,assam,['assam'],Assam
17,17,jharkhand,2178921,2374186389.9194,2018,1,jharkhand,['jharkhand'],Jharkhand
18,18,odisha,5809821,4627632210.887628,2018,1,odisha,['odisha'],Odisha
19,19,bihar,5824302,6045758172.017314,2018,1,bihar,['bihar'],Bihar
20,20,kerala,1771380,2402674753.100502,2018,1,kerala,['kerala'],Kerala
21,21,karnataka,12016899,19217895314.0128,2018,1,karnataka,['karnataka'],Karnataka
22,22,chandigarh,381895,613435420.8676233,2018,1,chandigarh,['chandigarh'],Chandigarh
23,23,telangana,8522766,13308204118.54243,2018,1,telangana,['telangana'],Telangana
24,24,himachal pradesh,481918,628737806.3723403,2018,1,himachal,"['himachal', 'pradesh']",Himachal Pradesh
25,25,west bengal,11710225,10625978552.14045,2018,1,west,"['west', 'bengal']",West Bengal
26,26,gujarat,5948775,7577982255.034092,2018,1,gujarat,['gujarat'],Gujarat
27,27,sikkim,44078,64650938.94036835,2018,1,sikkim,['sikkim'],Sikkim
28,28,nagaland,42845,78005891.08612517,2018,1,nagaland,['nagaland'],Nagaland
29,29,mizoram,18561,45227219.97579083,2018,1,mizoram,['mizoram'],Mizoram
30,30,chhattisgarh,1891514,2149155557.236746,2018,1,chhattisgarh,['chhattisgarh'],Chhattisgarh
31,31,jammu & kashmir,941568,1005371239.25613,2018,1,jammu,"['jammu', '& kashmir']",Jammu & Kashmir
32,32,goa,160897,303856742.3430838,2018,1,goa,['goa'],Goa
33,33,arunachal pradesh,45497,92387336.00940911,2018,1,arunachal,"['arunachal', 'pradesh']",Arunachal Pradesh
34,34,delhi,7122754,11211503806.91996,2018,1,delhi,['delhi'],Delhi
35,35,uttarakhand,1246685,1508545358.523886,2018,1,uttarakhand,['uttarakhand'],Uttarakhand
36,36,puducherry,130261,285801119.5324367,2018,2,puducherry,['puducherry'],Puducherry
37,37,tamil nadu,9992128,20125844276.26766,2018,2,tamil,"['tamil', 'nadu']",Tamil Nadu
38,38,uttar pradesh,17710943,25720201695.70143,2018,2,uttar,"['uttar', 'pradesh']",Uttar Pradesh
39,39,madhya pradesh,10561412,15924081066.680984,2018,2,madhya,"['madhya', 'pradesh']",Madhya Pradesh
40,40,andhra pradesh,12353918,22883914272.63361,2018,2,andhra,"['andhra', 'pradesh']",Andhra Pradesh
41,41,tripura,214559,236891718.7161358,2018,2,tripura,['tripura'],Tripura
42,42,lakshadweep,2132,6187809.539400538,2018,2,lakshadweep,['lakshadweep'],Lakshadweep
43,43,manipur,151721,253209721.319494,2018,2,manipur,['manipur'],Manipur
44,44,maharashtra,22285740,36357057241.122536,2018,2,maharashtra,['maharashtra'],Maharashtra
45,45,dadra & nagar haveli & daman & diu,202626,302070771.6561514,2018,2,dadra,"['dadra', '& nagar haveli & daman & diu']",Dadra and Nagar Haveli and Daman and Diu
46,46,meghalaya,67857,117004667.8418316,2018,2,meghalaya,['meghalaya'],Meghalaya
47,47,andaman & nicobar islands,11340,28338535.507953543,2018,2,andaman,"['andaman', '& nicobar islands']",Andaman & Nicobar
48,48,haryana,6150931,11320414442.11666,2018,2,haryana,['haryana'],Haryana
49,49,rajasthan,9973697,15559086175.75962,2018,2,rajasthan,['rajasthan'],Rajasthan
50,50,ladakh,15010,47334902.5377415,2018,2,ladakh,['ladakh'],Ladakh
51,51,punjab,2581163,4684672212.007125,2018,2,punjab,['punjab'],Punjab
52,52,assam,1663873,2350585135.537811,2018,2,assam,['assam'],Assam
53,53,jharkhand,3152080,4721575659.062912,2018,2,jharkhand,['jharkhand'],Jharkhand
54,54,odisha,8158144,8488310339.620239,2018,2,odisha,['odisha'],Odisha
55,55,bihar,8632378,13506131109.67292,2018,2,bihar,['bihar'],Bihar
56,56,kerala,2308165,3886923343.4426303,2018,2,kerala,['kerala'],Kerala
57,57,karnataka,17116447,33515580081.29709,2018,2,karnataka,['karnataka'],Karnataka
58,58,chandigarh,479084,961223261.74473,2018,2,chandigarh,['chandigarh'],Chandigarh
59,59,telangana,10764670,23017201517.65273,2018,2,telangana,['telangana'],Telangana
60,60,himachal pradesh,687695,1183169301.3511171,2018,2,himachal,"['himachal', 'pradesh']",Himachal Pradesh
61,61,west bengal,18082446,18629183470.20428,2018,2,west,"['west', 'bengal']",West Bengal
62,62,gujarat,7745733,12162684771.64138,2018,2,gujarat,['gujarat'],Gujarat
63,63,sikkim,74578,143693085.52979562,2018,2,sikkim,['sikkim'],Sikkim
64,64,nagaland,65599,153325577.8803017,2018,2,nagaland,['nagaland'],Nagaland
65,65,mizoram,27051,83508405.55773437,2018,2,mizoram,['mizoram'],Mizoram
66,66,chhattisgarh,2816156,4264170443.161732,2018,2,chhattisgarh,['chhattisgarh'],Chhattisgarh
67,67,jammu & kashmir,1796326,2651206236.502893,2018,2,jammu,"['jammu', '& kashmir']",Jammu & Kashmir
68,68,goa,229575,478603825.3586148,2018,2,goa,['goa'],Goa
69,69,arunachal pradesh,82157,198970192.34204653,2018,2,arunachal,"['arunachal', 'pradesh']",Arunachal Pradesh
70,70,delhi,9373723,17446299902.20514,2018,2,delhi,['delhi'],Delhi
71,71,uttarakhand,1704122,2679755378.551076,2018,2,uttarakhand,['uttarakhand'],Uttarakhand
72,72,puducherry,190271,417658075.49420667,2018,3,puducherry,['puducherry'],Puducherry
73,73,tamil nadu,15774078,29330092241.184048,2018,3,tamil,"['tamil', 'nadu']",Tamil Nadu
74,74,uttar pradesh,26515356,37012114369.239365,2018,3,uttar,"['uttar', 'pradesh']",Uttar Pradesh
75,75,madhya pradesh,17126985,24149742204.67322,2018,3,madhya,"['madhya', 'pradesh']",Madhya Pradesh
76,76,andhra pradesh,25626061,35718044599.21416,2018,3,andhra,"['andhra', 'pradesh']",Andhra Pradesh
77,77,tripura,377703,453863388.0405924,2018,3,tripura,['tripura'],Tripura
78,78,lakshadweep,1703,4339032.3119858485,2018,3,lakshadweep,['lakshadweep'],Lakshadweep
79,79,manipur,189258,383331244.7941229,2018,3,manipur,['manipur'],Manipur
80,80,maharashtra,31538538,52260817733.24835,2018,3,maharashtra,['maharashtra'],Maharashtra
81,81,dadra & nagar haveli & daman & diu,289575,447639595.67817545,2018,3,dadra,"['dadra', '& nagar haveli & daman & diu']",Dadra and Nagar Haveli and Daman and Diu
82,82,meghalaya,110290,209853661.534394,2018,3,meghalaya,['meghalaya'],Meghalaya
83,83,andaman & nicobar islands,16265,55557471.134311125,2018,3,andaman,"['andaman', '& nicobar islands']",Andaman & Nicobar
84,84,haryana,8262024,16375139007.627962,2018,3,haryana,['haryana'],Haryana
85,85,rajasthan,14257098,24040768671.21296,2018,3,rajasthan,['rajasthan'],Rajasthan
86,86,ladakh,24864,84090977.14484604,2018,3,ladakh,['ladakh'],Ladakh
87,87,punjab,3462108,7065687043.821183,2018,3,punjab,['punjab'],Punjab
88,88,assam,2351851,3811134989.914264,2018,3,assam,['assam'],Assam
89,89,jharkhand,8122621,8661571417.704563,2018,3,jharkhand,['jharkhand'],Jharkhand
90,90,odisha,30052155,23094515775.58576,2018,3,odisha,['odisha'],Odisha
91,91,bihar,14367804,20135804378.90174,2018,3,bihar,['bihar'],Bihar
92,92,kerala,3134348,5323025223.875498,2018,3,kerala,['kerala'],Kerala
93,93,karnataka,25980261,48225091755.80773,2018,3,karnataka,['karnataka'],Karnataka
94,94,chandigarh,616936,1369354447.5343108,2018,3,chandigarh,['chandigarh'],Chandigarh
95,95,telangana,19332703,32030093209.72354,2018,3,telangana,['telangana'],Telangana
96,96,himachal pradesh,886754,1754041432.8580248,2018,3,himachal,"['himachal', 'pradesh']",Himachal Pradesh
97,97,west bengal,53705416,41843934183.17763,2018,3,west,"['west', 'bengal']",West Bengal
98,98,gujarat,11334149,17866404426.27552,2018,3,gujarat,['gujarat'],Gujarat
99,99,sikkim,108500,235080226.9533177,2018,3,sikkim,['sikkim'],Sikkim
100,100,nagaland,94371,241792742.93665323,2018,3,nagaland,['nagaland'],Nagaland
101,101,mizoram,39316,116600738.1253902,2018,3,mizoram,['mizoram'],Mizoram
102,102,chhattisgarh,3859604,6302307073.446348,2018,3,chhattisgarh,['chhattisgarh'],Chhattisgarh
103,103,jammu & kashmir,2303961,3934700999.457677,2018,3,jammu,"['jammu', '& kashmir']",Jammu & Kashmir
104,104,goa,339511,713166969.2382338,2018,3,goa,['goa'],Goa
105,105,arunachal pradesh,131146,331726406.7413912,2018,3,arunachal,"['arunachal', 'pradesh']",Arunachal Pradesh
106,106,delhi,18547048,27375846860.618507,2018,3,delhi,['delhi'],Delhi
107,107,uttarakhand,2229132,3726573039.858514,2018,3,uttarakhand,['uttarakhand'],Uttarakhand
108,108,puducherry,307964,625691665.4234949,2018,4,puducherry,['puducherry'],Puducherry
109,109,tamil nadu,22457444,43302073975.890976,2018,4,tamil,"['tamil', 'nadu']",Tamil Nadu
110,110,uttar pradesh,36100767,55096743575.91497,2018,4,uttar,"['uttar', 'pradesh']",Uttar Pradesh
111,111,madhya pradesh,21397555,33905608072.96478,2018,4,madhya,"['madhya', 'pradesh']",Madhya Pradesh
112,112,andhra pradesh,30759548,51473779406.840416,2018,4,andhra,"['andhra', 'pradesh']",Andhra Pradesh
113,113,tripura,448059,624885599.4644469,2018,4,tripura,['tripura'],Tripura
114,114,lakshadweep,1642,4463213.698222831,2018,4,lakshadweep,['lakshadweep'],Lakshadweep
115,115,manipur,236110,605683559.3060112,2018,4,manipur,['manipur'],Manipur
116,116,maharashtra,46090223,79518937047.82959,2018,4,maharashtra,['maharashtra'],Maharashtra
117,117,dadra & nagar haveli & daman & diu,404082,658750616.8008878,2018,4,dadra,"['dadra', '& nagar haveli & daman & diu']",Dadra and Nagar Haveli and Daman and Diu
118,118,meghalaya,161132,337585679.0046732,2018,4,meghalaya,['meghalaya'],Meghalaya
119,119,andaman & nicobar islands,23758,90548336.07445516,2018,4,andaman,"['andaman', '& nicobar islands']",Andaman & Nicobar
120,120,haryana,12950183,25390876016.45502,2018,4,haryana,['haryana'],Haryana
121,121,rajasthan,20959723,37909087083.33885,2018,4,rajasthan,['rajasthan'],Rajasthan
122,122,ladakh,35211,135522842.4926374,2018,4,ladakh,['ladakh'],Ladakh
123,123,punjab,4887137,10781982573.64962,2018,4,punjab,['punjab'],Punjab
124,124,assam,3734172,5888022859.01307,2018,4,assam,['assam'],Assam
