,Brand,count,Percentage,state,year,quarter
0,Xiaomi,1665,0.24703264094955402,andaman-&-nicobar-islands,2018,1
1,Samsung,1445,0.21439169139465802,andaman-&-nicobar-islands,2018,1
2,Vivo,982,0.145697329376854,andaman-&-nicobar-islands,2018,1
3,Oppo,501,0.07433234421364901,andaman-&-nicobar-islands,2018,1
4,OnePlus,332,0.049258160237388,andaman-&-nicobar-islands,2018,1
5,Realme,316,0.046884272997032,andaman-&-nicobar-islands,2018,1
6,Apple,229,0.033976261127596004,andaman-&-nicobar-islands,2018,1
7,Motorola,226,0.033531157270029005,andaman-&-nicobar-islands,2018,1
8,Lenovo,202,0.029970326409495002,andaman-&-nicobar-islands,2018,1
9,Huawei,158,0.023442136498516,andaman-&-nicobar-islands,2018,1
10,Others,684,0.10148367952522201,andaman-&-nicobar-islands,2018,1
11,Xiaomi,2303,0.24486975013290802,andaman-&-nicobar-islands,2018,2
12,Samsung,1923,0.20446570972886702,andaman-&-nicobar-islands,2018,2
13,Vivo,1523,0.16193514088250902,andaman-&-nicobar-islands,2018,2
14,Oppo,708,0.075279106858054,andaman-&-nicobar-islands,2018,2
15,OnePlus,466,0.049548112706007,andaman-&-nicobar-islands,2018,2
16,Realme,465,0.049441786283891,andaman-&-nicobar-islands,2018,2
17,Motorola,319,0.03391812865497,andaman-&-nicobar-islands,2018,2
18,Apple,308,0.032748538011695,andaman-&-nicobar-islands,2018,2
19,Lenovo,244,0.025943646996278002,andaman-&-nicobar-islands,2018,2
20,Huawei,230,0.024455077086656,andaman-&-nicobar-islands,2018,2
21,Others,916,0.09739500265816001,andaman-&-nicobar-islands,2018,2
22,Xiaomi,2950,0.24281833895793803,andaman-&-nicobar-islands,2018,3
23,Samsung,2409,0.19828792493209302,andaman-&-nicobar-islands,2018,3
24,Vivo,2063,0.16980821466787302,andaman-&-nicobar-islands,2018,3
25,Oppo,988,0.081323565725574,andaman-&-nicobar-islands,2018,3
